country,country_code,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Denmark,DNK,88,88,87,88,88,90,91,92,91,90
New Zealand,NZL,88,88,87,87,89,90,91,91,91,90
Finland,FIN,88,85,86,85,85,89,90,89,89,90
Singapore,SGP,85,85,85,85,84,84,85,84,86,87
Sweden,SWE,85,85,85,85,84,88,89,87,89,88
Norway,NOR,85,84,84,84,85,85,88,86,86,85
Switzerland,CHE,84,85,85,85,85,86,86,86,85,86
Netherlands,NLD,82,82,82,82,82,83,84,83,83,84
Luxembourg,LUX,81,80,80,81,82,81,85,82,80,80
Germany,DEU,80,80,80,80,81,81,81,79,78,79
United Kingdom,GBR,78,77,77,80,82,81,81,78,76,74
Hong Kong,HKG,76,77,76,76,77,77,75,74,75,77
Canada,CAN,74,77,77,81,82,82,83,81,81,84
Austria,AUT,74,76,77,76,75,75,76,72,69,69
Estonia,EST,74,75,74,73,71,70,70,69,68,64
Iceland,ISL,74,75,78,76,77,78,79,79,78,82
Ireland,IRL,74,72,74,73,74,73,75,74,72,69
Australia,AUS,73,77,77,77,77,79,79,80,81,85
Belgium,BEL,73,76,75,75,75,77,77,76,75,75
Japan,JPN,73,74,73,73,73,72,75,76,74,74
Uruguay,URY,73,71,71,70,70,71,74,73,73,72
France,FRA,71,69,69,72,70,69,70,69,71,71
Seychelles,SYC,70,66,66,66,60,,55,55,54,52
United Arab Emirates,ARE,69,71,71,70,71,66,70,70,69,68
Bhutan,BTN,68,68,68,68,67,65,65,65,63,63
Taiwan,TWN,68,65,65,63,63,61,62,61,61,61
Chile,CHL,67,67,67,67,67,66,70,73,71,72
United States of America,USA,67,67,69,71,75,74,76,74,73,73
Barbados,BRB,65,64,62,68,68,61,,74,75,76
Bahamas,BHS,64,63,64,65,65,66,,71,71,71
Qatar,QAT,63,63,62,62,63,61,71,69,68,68
"Korea, South",KOR,62,61,59,57,54,53,54,55,55,56
Portugal,PRT,62,61,62,64,63,62,64,63,62,63
Spain,ESP,61,62,62,58,57,58,58,60,59,65
Lithuania,LTU,61,60,60,59,59,59,59,58,57,54
Israel,ISR,59,60,60,61,62,64,61,60,61,60
Saint Vincent and the Grenadines,VCT,59,59,59,58,58,60,,62,62,62
Latvia,LVA,59,57,56,58,58,57,56,55,53,49
Cabo Verde,CPV,58,58,58,57,55,59,55,57,58,60
Costa Rica,CRI,58,57,56,56,59,58,55,54,53,54
Slovenia,SVN,57,60,60,60,61,61,60,58,57,61
Poland,POL,56,56,58,60,60,62,63,61,60,58
Saint Lucia,LCA,56,56,55,55,55,60,,71,71,71
Italy,ITA,56,53,53,52,50,47,44,43,43,42
Fiji,FJI,55,,,,,,,,,
Botswana,BWA,55,60,61,61,61,60,63,63,64,65
Georgia,GEO,55,56,56,58,56,57,52,52,49,52
Dominica,DMA,55,55,55,57,57,59,,58,58,58
Czechia,CZE,54,54,56,59,57,55,56,51,48,49
Malta,MLT,54,53,54,54,56,55,60,55,56,57
Mauritius,MUS,54,53,52,51,50,54,53,54,52,57
Cyprus,CYP,53,57,58,59,57,55,61,63,63,66
Rwanda,RWA,53,54,53,56,55,54,54,49,53,53
Grenada,GRD,53,53,53,52,52,56,,,,
Saudi Arabia,SAU,53,53,53,49,49,46,52,49,46,44
Oman,OMN,52,54,52,52,44,45,45,45,47,47
Slovakia,SVK,52,49,50,50,50,51,51,50,47,46
Namibia,NAM,49,51,52,53,51,52,53,49,48,48
Greece,GRC,49,50,48,45,48,44,46,43,40,36
Armenia,ARM,49,49,42,35,35,33,35,37,36,34
Jordan,JOR,49,49,48,49,48,48,53,49,45,48
Malaysia,MYS,48,51,53,47,47,49,50,52,50,49
Croatia,HRV,47,47,47,48,49,49,51,48,48,46
Cuba,CUB,46,47,48,47,47,47,47,46,46,48
Montenegro,MNE,46,45,45,45,46,45,44,42,44,41
Sao Tome and Principe,STP,45,47,46,46,46,46,42,42,42,42
Romania,ROU,45,44,44,47,48,48,46,43,43,44
Vanuatu,VUT,45,43,46,46,43,,,,,
China,CHN,45,42,41,39,41,40,37,36,40,39
Jamaica,JAM,44,44,43,44,44,39,41,38,38,38
South Africa,ZAF,44,44,44,43,43,45,44,44,42,43
Tunisia,TUN,44,44,43,43,42,41,38,40,41,41
Senegal,SEN,43,45,45,45,45,45,44,43,41,36
Hungary,HUN,43,44,44,46,45,48,51,54,54,55
Ghana,GHA,43,43,41,41,40,43,47,48,46,45
Kuwait,KWT,43,42,40,41,39,41,49,44,43,44
Solomon Islands,SLB,43,42,42,44,39,42,,,,
Bulgaria,BGR,42,44,43,42,43,41,41,43,41,41
Bahrain,BHR,42,42,42,36,36,43,51,49,48,51
Benin,BEN,42,41,41,40,39,36,37,39,36,36
Burkina Faso,BFA,42,40,40,41,42,42,38,38,38,38
Belarus,BLR,41,47,45,44,44,40,32,31,29,31
Timor-Leste,TLS,41,40,38,35,38,35,28,28,30,33
Trinidad and Tobago,TTO,41,40,40,41,41,35,39,38,38,39
Maldives,MDV,40,43,29,31,33,36,,,,
India,IND,40,40,41,41,40,40,38,38,36,36
Guyana,GUY,39,41,40,37,38,34,29,30,27,28
Morocco,MAR,39,40,41,43,40,37,36,39,37,37
Colombia,COL,39,39,37,36,37,37,37,37,36,36
Ethiopia,ETH,39,38,37,34,35,34,33,33,33,33
Suriname,SUR,39,38,44,43,41,45,36,36,36,37
Tanzania,TZA,39,38,37,36,36,32,30,31,33,35
Kosovo,KSV,39,36,36,37,39,36,33,33,33,34
Vietnam,VNM,39,36,37,33,35,33,31,31,31,31
North Macedonia,MKD,39,35,35,37,35,37,42,45,44,43
Argentina,ARG,38,42,45,40,39,36,32,34,34,35
Lesotho,LSO,38,41,40,41,42,39,44,49,49,45
Turkey,TUR,38,40,39,41,40,41,42,45,50,49
Brazil,BRA,38,38,35,35,37,40,38,43,42,43
Serbia,SRB,38,38,39,39,41,42,40,41,42,39
Indonesia,IDN,38,37,40,38,37,37,36,34,32,32
Kazakhstan,KAZ,37,38,34,31,31,29,28,29,26,28
Sri Lanka,LKA,37,38,38,38,38,36,37,38,37,40
Gambia,GMB,37,37,37,37,30,26,28,29,28,34
Ecuador,ECU,36,39,38,34,32,31,32,33,35,32
Peru,PER,36,38,36,35,37,35,36,38,38,38
Cote d'Ivoire,CIV,36,36,35,35,36,34,32,32,27,29
Panama,PAN,36,35,36,37,37,38,39,37,35,38
Moldova,MDA,36,34,32,33,31,30,33,35,35,36
Albania,ALB,35,36,35,36,38,39,36,33,31,33
Thailand,THA,35,36,36,36,37,35,38,38,35,37
Bosnia and Herzegovina,BIH,35,35,36,38,38,39,38,39,42,42
Mongolia,MNG,35,35,35,37,36,38,39,39,38,36
Malawi,MWI,35,30,31,32,31,31,31,33,37,37
El Salvador,SLV,34,36,34,35,33,36,39,39,38,38
Sierra Leone,SLE,34,33,33,30,30,30,29,31,30,31
Algeria,DZA,33,36,35,35,33,34,36,36,36,34
Philippines,PHL,33,34,34,36,34,35,35,38,36,34
Egypt,EGY,33,33,35,35,32,34,36,37,32,32
Nepal,NPL,33,33,34,31,31,29,27,29,31,27
Zambia,ZMB,33,33,34,35,37,38,38,38,38,37
Eswatini,SWZ,32,33,34,38,39,,,43,39,37
Ukraine,UKR,32,33,30,32,30,29,27,26,25,26
Niger,NER,31,32,32,34,33,35,34,35,34,33
Mexico,MEX,31,31,29,28,29,30,31,35,34,34
Gabon,GAB,31,30,31,31,32,35,34,37,34,35
Papua New Guinea,PNG,31,27,28,28,29,28,25,25,25,25
Bolivia,BOL,30,31,31,29,33,33,34,35,34,34
Kenya,KEN,30,31,28,27,28,26,25,25,27,27
Azerbaijan,AZE,30,30,30,25,31,30,29,29,28,27
Laos,LAO,30,29,29,29,29,30,25,25,26,21
Togo,TGO,30,29,29,30,32,32,32,29,29,30
Dominican Republic,DOM,30,28,28,30,29,31,33,32,29,32
Paraguay,PRY,30,28,28,29,29,30,27,24,24,25
Djibouti,DJI,30,27,30,31,31,30,34,34,36,36
Mali,MLI,29,30,29,32,31,32,35,32,28,34
Russia,RUS,29,30,28,28,29,29,29,27,28,28
Liberia,LBR,29,28,28,32,31,37,37,37,38,41
Angola,AGO,29,27,26,19,19,18,15,19,23,22
Pakistan,PAK,28,31,32,33,32,32,30,29,28,27
Mauritania,MRT,28,29,28,27,28,27,31,30,30,31
Myanmar,MMR,28,28,29,29,30,28,22,21,21,15
Uzbekistan,UZB,28,26,25,23,22,21,19,18,17,17
Kyrgyzstan,KGZ,27,31,30,29,29,28,28,27,24,24
Uganda,UGA,27,27,28,26,26,25,25,26,26,29
Cameroon,CMR,27,25,25,25,25,26,27,27,25,26
Bangladesh,BGD,26,26,26,26,28,26,25,25,27,26
Madagascar,MDG,26,25,24,25,24,26,28,28,28,32
Mozambique,MOZ,26,25,26,23,25,27,31,31,30,31
Guinea,GIN,25,28,29,28,27,27,25,25,24,24
Guatemala,GTM,25,25,26,27,28,28,28,32,29,33
Iran,IRN,25,25,26,28,30,29,27,27,25,28
Tajikistan,TJK,25,25,25,25,21,25,26,23,22,22
Central African Republic,CAF,24,26,25,26,23,20,24,24,25,26
Lebanon,LBN,24,25,28,28,28,28,28,27,28,30
Nigeria,NGA,24,25,26,27,27,28,26,27,25,27
Honduras,HND,23,24,26,29,29,30,31,29,26,28
Zimbabwe,ZWE,23,24,24,22,22,22,21,21,21,20
Cambodia,KHM,23,21,20,20,21,21,21,21,20,22
Iraq,IRQ,23,21,20,18,18,17,16,16,16,18
Eritrea,ERI,22,21,23,24,20,18,18,18,20,25
Congo,COG,21,19,19,19,21,20,23,23,22,26
Guinea Bissau,GNB,21,19,18,16,17,16,17,19,19,25
Nicaragua,NIC,20,22,22,25,26,26,27,28,28,29
Chad,TCD,20,21,20,19,20,20,22,22,19,19
Comoros,COM,20,21,25,27,27,24,26,26,28,28
Haiti,HTI,20,18,18,20,22,20,17,19,19,19
Sudan,SDN,20,16,16,16,16,14,12,11,11,13
Burundi,BDI,19,19,19,17,22,20,21,20,21,19
Turkmenistan,TKM,19,19,19,20,19,22,18,17,17,17
Democratic Republic of the Congo,COD,19,18,18,20,21,21,22,22,22,21
Libya,LBY,17,17,18,17,17,14,16,18,15,21
Equatorial Guinea,GNQ,17,16,16,16,17,,,,19,20
Afghanistan,AFG,16,19,16,16,15,15,11,12,8,8
"Korea, North",PRK,16,18,17,14,17,12,8,8,8,8
Yemen,YEM,16,15,15,14,16,14,18,19,18,23
Venezuela,VEN,14,15,16,18,18,17,17,19,20,19
Syria,SYR,13,14,13,13,14,13,18,20,17,26
Somalia,SOM,13,12,9,10,9,10,8,8,8,8
South Sudan,SSD,11,12,12,13,12,11,15,15,14,
Brunei Darussalam,BRN,,60,60,63,62,58,,,60,55